"","year","start_time.opt","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","start_time.oa","R_frac.oa","R_start_year.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","R_frac.opt","R_start_year.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","bootstrap_draw","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_oa_welfare","npv_opt_welfare","npv_welfare_loss","npv_welfare_gain","opt_tax_path","fe_eqm_next","launch_con","one_period_launch_deviation","one_period_sat_deviation","one_period_deb_deviation","excess_L","opt_dev_tax_path"
"3054",2041,14,36,80.5189458006626,2041.54088099244,5856.44671447692,"no","no",7503.16970361685,1360.25177661751,17087.9429595,6.40358612898915,3.90802101078932,5.9019023282226,0,0,2029,22,33.5074573262001,1158.47223653785,2113.36984435466,"no","no",2660.35612540444,954.914518439712,88731.0012240784,1.86810627064255,3.90802101078932,5.9019023282226,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.9451326609302,0.354564301554053,5.19260869692619,167.093292926592,589.591280426403,3061.51681037399,-2471.92552994758,2471.92552994758,NA,0.00278081101414391,492,492,1610.1860897178,3554.41805086788,0.00071396645246713,256214.403697072
"3055",2041,29,36,80.5189458006626,2041.54088099244,5856.44671447692,"no","no",7503.16970361685,1360.25177661751,17087.9429595,6.40358612898915,3.90802101078932,5.9019023282226,0,0,2029,7,0,2023.64801410804,5788.24884119262,"no","no",3290.86996047808,2455.69783283772,76005.0602284596,6.28716869693345,3.90802101078932,5.9019023282226,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1.00958999012861,0.438597298271388,4.44787651788156,145.338453258136,589.591280426403,2622.42921135632,-2032.83793092991,2032.83793092991,NA,0.00278081101414391,492,0,1950.35170310077,5564.77811732632,0,0
"3056",2006,0,1,53.4777546964243,1881,4019,"yes","no",1733.51861687497,1733.51861687497,10282.7807375992,5.11151510123684,1,2.75780806360023,0,0,2029,1,0,1881,4019,"yes","no",1881,1881,66166.0985245723,5.11151510123684,1,2.75780806360023,0,2029,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.437463901775567,0.437463901775567,0.00218350527561345,0.449275362318841,1.20646016903435,0.435280396499953,48,1,1.08507631916345,6.43465033564655,-5.52290729788803,385.071278658418,2477.79903246724,-2092.72775380882,2092.72775380882,0,0.00238569471580004,65,0,1813.57852248978,4215.82654892934,0,0
"3057",2007,0,2,65,1867.05627718621,4393.95942022238,"yes","no",1829.03176030303,1741.93500981241,10385.7962065203,5.12047170810589,1.04869392390687,1.98367404883589,0,0,2029,2,0,1813.57852248978,4215.82654892934,"yes","no",1901.88877706304,1811.32264482194,67334.5958564129,4.82094266976978,1.04869392390687,1.98367404883589,0,2029,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.39820380263392,0.39820380263392,0.00247115600443019,0.574468085106383,1.15205658959502,0.395732646629489,48,1.03170838264173,1.03983365316081,6.48333498149518,-2.74873785181748,391.83365478936,2540.38884102297,-2148.55518623361,2148.55518623361,6308.14901111386,0.00258611045254846,65,0,1748.67745367562,4367.96767799671,0,0
"3058",2008,0,3,65,1865.08929861949,4787.30371694877,"no","no",2134.91389880702,1936.42984018778,10877.3182309489,5.19259878578659,1.21379897785349,1.98353208404316,0,0,2029,3,0,1748.67745367562,4367.96767799671,"no","no",2122.54290586691,1925.2089849133,68773.9022780034,4.54147547733208,1.21379897785349,1.98353208404316,0,2029,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.502976540624485,0.502976540624485,0.00260051938389183,0.517647058823529,0.916405664598416,0.500376021240594,48,1.07200762473389,0.994205390228136,6.322689179243,0.467223067199335,410.810515483183,2597.42720096476,-2186.61668548158,2186.61668548158,14009.5664343351,0.002846325079909,77,77,1763.20233869223,4638.00419473201,4.76554013251196e-05,3807.68486443862
"3059",2009,0,4,77,1863.11792439788,5058.43291072255,"no","no",2340.72904662786,2022.00975845188,11170.5681387736,5.23910621158809,1.32112436115843,1.56729131175468,0,0,2029,4,77,1686.20233869223,4381.51939712922,"no","no",2107.00155648352,1820.1071646548,69928.3154492364,4.25491163820321,1.32112436115843,1.56729131175468,0,2029,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.675216776112905,0.675216776112905,0.00286947834403866,0.591836734693878,0.810695545777548,0.672347297768866,48,1.11438690642565,0.900147567066312,6.26005003331134,8.83667329382187,422.332268608016,2643.82113216807,-2221.48886356005,2221.48886356005,17103.5358495794,0.00289828879333823,77,77,1703.07945739736,4447.01957655958,2.76422167946326e-05,1809.8069633175
"3060",2010,0,5,77,1873.16706919185,5169.76965377287,"no","no",2538.47273131268,2088.40779824265,11195.2928947853,5.31331894213031,1.44108461101647,2.08986371379898,0,0,2029,5,0,1703.07945739736,4447.01957655958,"no","no",2454.28159739361,2019.1435440119,66409.2511133864,4.34457573723143,1.44108461101647,2.08986371379898,0,2029,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.745486993434292,0.745486993434292,0.00280266086749373,0.511904761904762,0.988005659761274,0.742684332566798,48,1.11192862302511,0.966833941968118,5.93189045945545,3.16598747159141,420.996313932054,2497.30401807946,-2076.30770414741,2076.30770414741,22439.5643719393,0.00271226621537651,77,77,1719.30929587976,4515.53346037636,2.71986394287933e-05,2350.9835039825
"3061",2011,0,6,77,1882.81067151639,5262.35754884651,"no","no",2743.05953276325,2149.25892010075,11416.2566218887,5.38200172493806,1.54514480408859,2.15786484951732,0,0,2029,6,19.7750553285997,1642.30929587976,4259.04866277356,"no","no",2494.93377844414,1954.84589901701,67122.2670260059,4.03486635061955,1.54514480408859,2.15786484951732,0,2029,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.651789082851753,0.651789082851753,0.00279743602801543,0.540816326530612,1.2263700591942,0.648991646823738,48,1.16349086725456,0.909544159958805,5.8795338304949,9.28291856353323,427.106733890658,2511.1884911423,-2084.08175725165,2084.08175725165,32426.8406335856,0.00268576161409849,77,77,1660.85711264633,4303.25725075192,2.72774263564424e-05,2524.59680803195
"3062",2012,0,7,77,1892.0675482312,5341.35201644258,"no","no",2866.31257311022,2138.88657362799,11561.8263909935,5.44623981960692,1.62620670073822,2.73480976717774,0,0,2029,7,0,1603.63216797493,4112.64259683146,"no","no",2607.83737708018,1946.00840270171,67828.6584470516,3.83890904822137,1.62620670073822,2.73480976717774,0,2029,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.612917034539958,0.612917034539958,0.00270173649975606,0.514851485148515,1.11917238075276,0.610215298040202,48,1.20242240687381,0.909823095200825,5.86660412924804,9.62280275108403,430.436562237401,2525.20091340127,-2094.76435116387,2094.76435116387,49336.8571410421,0.00260081856885556,159,159,1705.65414184788,4424.17627269957,0.000157676661173722,18941.2713308585
"3063",2013,0,8,53.1574994331376,1900.95484195932,5410.36422525395,"no","no",3072.30311400425,2183.42846362346,11729.9937203684,5.50681068616179,1.70712663259512,3.25198750709824,0,0,2029,8,0.446325093094522,1546.65414184788,3894.55182050679,"no","no",2638.8830333352,1875.40490418847,68440.627004228,3.55867222020463,1.70712663259512,3.25198750709824,0,2029,56,2209,151,37,8,0,0,3,9410,5.74487965357175,120.249,215.897,0.556973927382039,0.556973927382039,0.00260066982959337,0.792452830188679,1.15523985338577,0.554373257552445,48,1.25902271948829,0.858926653853449,5.8346686823357,16.0604080688525,434.655647480359,2536.07169395399,-2101.41604647363,2101.41604647363,71817.2966967962,0.0024962380508659,164,164,1655.83963993417,4217.08193310843,0.000167547468133189,24814.9198239075
"3064",2014,0,9,95.3937288177289,1885.64587370772,5392.50907280086,"no","no",2996.65033703911,2028.2509023446,11761.2182223621,5.42395049267569,1.74872231686542,3.15346394094265,0,0,2029,9,0.856906635299218,1492.28596502727,3672.2893200475,"no","no",2606.89154601306,1764.44681088145,69048.3954229466,3.29877864119426,1.74872231686542,3.15346394094265,0,2029,57,2256,131,84,33,0,0,0,9130,5.88826953659207,123.183,254.387,0.484234650355561,0.484234650355561,0.00261004855345393,0.676646706586826,1.17827945733382,0.481624601802107,48,1.30123118296279,0.86993517855301,5.87085403208162,14.5597906917123,439.350899940824,2579.36500241628,-2140.01410247545,2140.01410247545,78441.9043021288,0.00265795244741676,164,164,1603.52863042283,3996.13248419322,0.000170187151127488,25332.726277606
"3065",2015,0,10,78.3231760077129,1913.16174909601,5497.57694288935,"no","no",3046.31598870047,1963.68244793316,11852.3377321915,5.5889195761062,1.71473594548552,2.99082907438955,0,0,2029,10,0,1440.38553705813,3452.7075065057,"no","no",2469.88085575104,1592.10722161276,69707.9209723988,3.05864160727591,1.71473594548552,2.99082907438955,0,2029,58,2271,89,74,28,0,0,0,9331,5.96119901784433,NA,NA,NA,NA,NA,NA,NA,NA,48,1.37570821593127,0.810776316348149,5.88136471871442,21.2235535150879,436.386871235566,2566.55034819503,-2130.16347695947,2130.16347695947,87853.6448821025,0.00263480289963954,167,167,1556.58430011753,3792.24655789992,0.000177925874951579,26023.8351574313
"3066",2016,0,11,62.621891888599,1922.5336083187,5555.71753325137,"no","no",3106.87617265669,1907.35245950393,11894.7183156401,5.65046981411153,1.71475014196479,3.0307069846678,0,0,2029,11,0,1389.58430011753,3235.97433452762,"no","no",2382.78987589858,1462.82628521688,70538.5130615572,2.83205274481349,1.71475014196479,3.0307069846678,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1.44209602521968,0.766940728719503,5.9302382107534,26.529907473631,435.812385556379,2584.47126154603,-2148.65887598966,2148.65887598966,100051.223916917,0.00258527177466271,180,180,1520.68955169546,3627.02892714591,0.000201655176762072,30980.4537206244
"3067",2017,0,12,57.0301505075285,1915.83337972517,5558.30023597596,"no","no",3100.96266825934,1813.06864836145,11843.8708837217,5.61587726882104,1.71475014196479,3.23009653605906,0,0,2029,12,0,1340.68955169546,3027.45407560691,"no","no",2298.94759910051,1344.14704788906,71487.9012446952,2.62216747209519,1.71475014196479,3.23009653605906,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1.49874473836695,0.741365777354223,6.0358561779788,29.4879200192514,435.467026453541,2628.41634192567,-2192.94931547212,2192.94931547212,115847.76017244,0.00254521897013708,192,192,1485.62181665215,3468.30855103072,0.000223895058329759,37997.1595715285
"3068",2018,0,13,61.7709853233772,1903.7974096636,5531.19062964446,"no","no",3050.23084590771,1698.4826690808,11770.2125800594,5.54724838494571,1.71475014196479,3.46936399772856,0,0,2029,13,0,1293.62181665215,2828.76204272245,"no","no",2218.23819375302,1235.19802871229,72582.2614713865,2.42800652084014,1.71475014196479,3.46936399772856,0,2029,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,1.55243835238468,0.727236168609691,6.16660582616431,30.7835078040851,435.494748512071,2685.5244534385,-2250.02970492643,2250.02970492643,133099.009030261,0.00255057961763937,205,205,1453.30520645382,3323.56728313824,0.000247714557750412,46796.5044133446
