"","S2","SD"
"223",1.54585936125962e-06,0
"224",1.14010940464285e-06,1.41109684582001e-07
"225",1.50175088278525e-06,0
"226",1.44583409388764e-06,0
"227",1.53506224013652e-06,0
"228",1.14127099689721e-06,1.42271279157226e-07
"229",1.47150827697583e-06,0
"230",1.47282998852145e-06,0
"231",1.14047115508993e-06,1.41471435751858e-07
"232",1.51600833304526e-06,0
"233",1.53521049790359e-06,0
"234",1.41275512085971e-06,0
"235",1.39735280743899e-06,0
"236",1.43732654382847e-06,5.21793201088432e-08
"237",1.53469887960442e-06,0
"238",1.1415448671066e-06,1.42545149913814e-07
"239",1.13899200339147e-06,1.39992281098051e-07
"240",1.58746376734506e-06,0
"241",1.22839983714364e-06,1.11999948838334e-07
"242",1.45710824888907e-06,0
"243",1.5038103885484e-06,0
"244",1.50599663244282e-06,0
"245",1.13587006474078e-06,1.36870336209714e-07
"246",1.1192090511322e-06,1.11999973297119e-07
"247",1.56070723630745e-06,0
"248",1.30811105204182e-06,1.11999930982986e-07
"249",1.1192090511322e-06,1.11999973297119e-07
"250",1.14087754060801e-06,1.41877822081897e-07
"251",1.13859347908073e-06,1.39593755991052e-07
"252",1.51854281506685e-06,0
"253",1.44248495535621e-06,0
"254",1.1192090511322e-06,1.11999973297119e-07
"255",1.4393711995992e-06,0
"256",1.1192090511322e-06,1.11999973297119e-07
"257",1.19963826682523e-06,1.11999955280939e-07
"258",1.1192090511322e-06,1.11999973297119e-07
"259",1.57147063181975e-06,0
"260",1.1192090511322e-06,1.11999973297119e-07
"261",1.12741494256333e-06,1.28415197138899e-07
"262",1.45244124830832e-06,0
"263",1.13807631944668e-06,1.39076595323719e-07
"264",1.50030989458145e-06,0
"265",1.13828500193332e-06,1.39285278227305e-07
"266",1.1192090511322e-06,1.11999973297119e-07
"267",1.51515399997762e-06,0
"268",1.22545015659001e-06,1.11999949499064e-07
"269",1.21452076061088e-06,1.11999951947254e-07
"270",1.44791416900238e-06,0
"271",1.1192090511322e-06,1.11999973297119e-07
"272",1.45461666756233e-06,0
"273",1.51568298705899e-06,0
"274",1.45552477138536e-06,0
"275",1.53006655703827e-06,0
"276",1.2099351472534e-06,1.11999952974433e-07
"277",1.5046030709536e-06,0
"278",1.13959123954389e-06,1.40591518447745e-07
"279",1.44213446170379e-06,0
"280",1.12843296229445e-06,1.29433218904021e-07
"281",1.20573124329112e-06,1.11999953916109e-07
"282",1.1192090511322e-06,1.11999973297119e-07
"283",1.13638378309597e-06,1.37384055591318e-07
"284",1.13679526526777e-06,1.37795538585254e-07
"285",1.20485463419031e-06,1.1199995411247e-07
"286",1.21768550340718e-06,1.1199995123835e-07
