"","year","time.oa","launches.oa","satellites.oa","debris.oa","runaway.oa","kessler.oa","fleet_flowv.oa","fleet_pv.oa","fleet_vfn_path.oa","collision_rate.oa","returns.oa","costs.oa","time.opt","launches.opt","satellites.opt","debris.opt","runaway.opt","kessler.opt","fleet_flowv.opt","fleet_pv.opt","fleet_vfn_path.opt","collision_rate.opt","returns.opt","costs.opt","X","payloads_in_orbit","launch_successes","payloads_decayed","launch_failures","num_destr_asat","num_destr_satsat","num_destr_debsat","debris","risk.x","tot_rev","tot_cost","r_s","r_s_raw","risk.y","share_in_LEO","Ft_Ft","implied_r","bootstrap_draw","riskPoA","flowWelfPoA","NPVPoA","flow_welfare_loss","npv_welfare_loss","opt_tax_path"
"8130",2038,33,106.041812955671,2862.16273852833,45911.8458016211,"no","no",9553.45370520988,2004.94670672409,22653.9558960692,25.8912061283635,3.54911981828507,5.70251277683135,33,41.8685948803995,1252.09585796018,2537.0911022529,"no","no",4205.08202662566,882.504445087754,117070.274034924,2.17010290663366,3.54911981828507,5.70251277683135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.2193354364444,0.440163542566021,5.16776295372048,131.627491326082,-2323.65733791944,1026308.89676369
"8230",2039,34,254.282652709274,2848.10306900489,46256.9159598416,"no","no",8865.08124640043,1771.88630248917,22856.2501469958,25.8436692478331,3.62887563884157,5.78226859738785,34,49.3593602472839,1250.27651588444,2528.30888546137,"no","no",4251.68891156374,849.795860348574,119084.547500165,2.16299162702716,3.62887563884157,5.78226859738785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.24505091073619,0.479599542676508,5.21015244120512,114.099577224724,-2379.94240423523,1050252.13884137
"8330",2040,35,105.858241074875,2982.79720647846,47164.4934825728,"yes","no",10687.8902125651,2034.49119977558,24139.0183004926,27.8568661665047,3.78838727995457,5.78226859738785,35,48.1903116650253,1256.01524594853,2555.69082295952,"no","no",4479.6228553414,852.717711002605,119175.561775866,2.1854105648609,3.78838727995457,5.78226859738785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,5.36747960403309,0.419130695230663,4.93705088965588,146.610822785077,-2244.32760895227,1037678.68014622
"4931",2006,1,64,1881,4019,"yes","no",1704.50028392959,1704.50028392959,14011.7756953513,4.80049627112167,1,2.75780806360023,1,0,1881,4019,"yes","no",1881,1881,63516.857558044,4.80049627112167,1,2.75780806360023,49,1881,43,18,21,0,0,0,4019,4.1071734234289,70.44,161.019,0.196541752971631,0.437463901775567,4.1071734234289,0.449275362318841,1.20646016903435,0.19210731761644,32,1,1.10354924415941,4.53310550632902,-6.60959064327485,-1853.87451696336,0
"5031",2007,2,65,1877.87921044375,4429.22762020816,"yes","no",1804.25521401873,1718.33829906546,14972.8510661832,4.87204754687439,1.04869392390687,2.53946621237933,2,0,1813.87921044375,4216.10946842291,"yes","no",1902.20410669335,1811.62295875557,64641.172257392,4.53322152756187,1.04869392390687,2.53946621237933,50,1918,59,22,6,1,0,0,6542,4.7396772164971,73.868,185.503,0.228755375981188,0.39820380263392,4.7396772164971,0.574468085106383,1.15205658959502,0.223126945346216,32,1.03811456584998,1.05428771490506,4.31722535485488,-3.67410212628619,-1863.0785863389,9073.68479941467
"5131",2008,3,65,1875.79290717146,4828.3346536513,"no","no",2133.93517267404,1935.54210673383,18005.5352193598,4.94589480725867,1.21379897785349,2.1984667802385,3,0,1749.24631803394,4368.89887041022,"no","no",2123.23339284358,1925.83527695563,65801.4617805714,4.27532800608554,1.21379897785349,2.1984667802385,51,1957,59,20,6,1,0,0,6933,5.08921643427632,85.504,169.996,0.260364326911498,0.502976540624485,5.08921643427632,0.517647058823529,0.916405664598416,0.254328693797998,32,1.07880143289673,0.994984955509661,3.65451295831633,0.401874518437252,-1794.83836094067,15900.3597863534
"5231",2009,4,77,1873.70450871764,5103.31707679921,"no","no",2331.6830150662,2014.19545627142,18794.2055034456,4.9935738576884,1.32112436115843,1.86641113003975,4,77,1687.00961456834,4383.27554845,"no","no",2085.03584230167,1801.13235486593,66806.8423390498,4.00869838462253,1.32112436115843,1.86641113003975,52,2008,72,21,5,0,1,0,9175,5.76191251482962,93.055,137.815,0.399618091985189,0.675216776112905,5.76191251482962,0.591836734693878,0.810695545777548,0.392680559704867,32,1.12156526976375,0.894219252286519,3.55465105065504,9.27244758642543,-1804.98585714276,20268.4670190743
"5331",2010,5,77,1883.63938367675,5217.15990555155,"no","no",2560.92098008272,2106.8760280605,18069.3074607133,5.06489245078342,1.44108461101647,1.99432140829074,5,0,1704.09795357913,4449.57110207879,"no","no",2455.74933656753,2020.35105666263,66856.9638261101,4.09444054369034,1.44108461101647,1.99432140829074,53,2033,60,35,6,0,0,0,9518,5.69780954361475,101.507,136.162,0.381618341877078,0.745486993434292,5.69780954361475,0.511904761904762,0.988005659761274,0.374836535842161,32,1.11910916275829,0.958932101250626,3.70002912239287,3.9329664867959,-1824.44821665945,21343.3173732808
"5431",2011,6,77,1893.17530978577,5311.41641488575,"no","no",2762.25540484219,2164.29938816278,17494.378160883,5.13061599524245,1.54514480408859,2.11655309483248,6,0,1643.53578809064,4262.53550075996,"no","no",2539.50078330189,1989.76531348418,67536.0233007887,3.80344115794975,1.54514480408859,2.11655309483248,54,2063,67,37,9,0,0,0,9662,5.77111052579584,108.839,166.985,0.352498177460642,0.651789082851753,5.77111052579584,0.540816326530612,1.2263700591942,0.345667395136873,32,1.17106538056794,0.919357702712859,3.86044149038676,8.28810488927936,-1861.91604413742,31175.7813736912
"5531",2012,7,77,1902.33094782769,5391.49912927608,"no","no",2912.46280627004,2173.32458817023,18725.1766143196,5.19188472044057,1.62620670073822,2.35221465076661,7,0.241736232870267,1585.26660351528,4051.12018923757,"no","no",2577.40255758449,1923.29747180017,68165.6216380934,3.52799497500171,1.62620670073822,2.35221465076661,55,2095,63,31,6,0,0,0,9427,5.66013796698894,114.545,186.885,0.315561245505721,0.612917034539958,5.66013796698894,0.514851485148515,1.11917238075276,0.309019182412182,32,1.22634685124367,0.88495638537796,3.64031929001756,12.4066971335149,-1830.69352441091,43874.3130204779
