PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
INT 101,Earlybird,HAC,COMSAT,Thor Delta,64 Apr,1964,"$142,857",04/15/64,65 Apr,04/06/65,12 ,N/A,,,2 ,$10,,$10,$5,,,,,$10,FFP,68,35,46,GEO,,,,,1,,,,1-C band,Transoceanic Global,2.0,,spinner,,
INT 201,,HAC,COMSAT,Thor Delta,65 Nov,1965,"$53,333",11/15/65,66 Oct,10/26/66,11 ,N/A,,,5 ,$20,,$20,$4,,,,,$20,FFP,162,75,85,GEO,,,,,2,,,,2-C band,Transoceanic Global,3.0,,spinner,,
INT 301,,TRW,COMSAT,DEL 1914,66 Jun,1966,"$56,000",06/15/66,68 Sep,09/18/68,27 ,67 Dec,12/15/67,18 ,8 ,$60,,$60,$7,,,,,$60,FFP,300,125,178,GEO,,,,,2,,,,2-C band,Transoceanic Global,5.0,,spinner,,
TACSAT,,HAC,USAF,Titan 3C,66 Jun,1966,"$48,062",06/15/66,69 Feb,02/09/69,32 ,N/A,,,1 ,,,$31,$31,,,,,$31,FFP,726,645,560,GEO,,1,,,,1,,,1-UHF/1-X,,2.4,HS-308,spinner,,
Skynet 1,,FACC,USAF,Thor Delta,67 Mar,1967,"$25,000",03/15/67,69 Nov,11/22/69,32 ,N/A,,,2 ,$5,,$5,$3,,,,,$5,FPI,300,120,85,GEO,,,,,,2,,,2-X band,,3.0,,spinner,,
NATO II,,FACC,USAF,THOR DEL,68 Apr,1968,"$100,000",04/15/68,70 Mar,03/20/70,23 ,N/A,,,2 ,,,$24,$12,,,,,$24,FPI,300,120,85,GEO,,,,,,2,,,2-X band,,3.0,,spinner,,
DSCS II,,TRW,USAF SD,Titan 3C,68 Oct,1968,"$22,388",10/15/68,71 Nov,11/03/71,37 ,N/A,,,8 ,,,$96,$12,,,,,$96,FFP,536,536,357,GEO,,,,,,2,,,2-X band,Global,5.0,,3-axis,,
INT 401,,HAC,COMSAT,AC,68 Oct,1968,"$31,196",10/15/68,71 Jan,01/26/71,27 ,69 Aug,08/15/69,10 ,4 ,,,$74,$18,,,,,$74,FFP,"1,382",577,409,GEO,,,,,12,,,,12-C band,Transoceanic Global,7.0,HS-312,spinner,,
INT 405,,HAC,COMSAT,AC,69 Sep,1969,"$20,797",09/15/69,72 Jun,06/13/72,33 ,N/A,,,4 ,$20,$26,$46,$12,,,,,$46,FFP,"1,382",577,409,GEO,,,,,12,,,,12-C band,Transoceanic Global,7.0,HS-312,spinner,,
Skynet 2,,MSDS,MOD UK,Delta 2313,70 Aug,1970,"$61,905",08/15/70,74 Jan,01/19/74,41 ,N/A,,,2 ,,,$25,$13,,,,,$25,FPI,436,210,196,GEO,,,,,,2,,,2-X band,,3.0,,spinner,,
Symphonie,,AS / MBB,FranceGerm,Delta 2914,70 Dec,1970,"$195,000",12/15/70,74 Dec,12/19/74,48 ,N/A,,,2 ,,,$79,$39,$88,$30,,,$197,CP,402,200,180,GEO,,,,,2,,,,2-C band,Europe,5.0,,3-axis,,
ATS 6,,Fairchil,NASA,Titan 3C,70 Jul,1970,"$122,982",07/15/70,74 May,05/30/74,46 ,N/A,,,1 ,$160,,$160,$160,,,,,$160,CPFF,"1,407","1,301",450,GEO,,,,,,,,,UHF/L/C/S,,2.0,,3-axis,,
ANIK A,,HAC,Telesat,Delta 1914,70 Sep,1970,"$48,780",09/15/70,72 Nov,11/10/72,26 ,N/A,,,3 ,$35,,$35,$12,,,,,$35,FFP,574,246,237,GEO,,,,,12,,,,12-C band,Canada,7.0,HS-333,spinner,,
SMS/GOES,,FACC,NASA GSFC,Delta 2914,70 Sep,1970,"$55,172",09/15/70,74 May,05/17/74,44 ,N/A,,,5 ,,,$79,$16,,,,,$79,CPAF,675,290,178,GEO,,,,,,,,,Metsat,,5.0,,spinner,,
Westar 1,,HAC,West Union,Delta 2914,72 Apr,1972,"$44,715",04/15/72,74 Apr,04/13/74,24 ,N/A,,,3 ,$30,$3,$33,$11,,,,,$33,FFP,574,246,237,GEO,,,,,12,,,,12-C band,USA,7.0,HS-333,spinner,,
Fleetsat,,TRW,USAF Navy,AC,72 Jul,1972,"$41,804",07/15/72,78 Feb,02/09/78,67 ,N/A,,,5 ,,,$192,$38,,,,,$192,FFP,"1,870",909,"1,425",GEO,,12,,,,,,,12-UHF 27,Global,5.0,,3-axis,,
CTS Hermes,,RCA,DOC NASA,Delta 2914,72 Mar,1972,"$142,857",03/15/72,76 Jan,01/17/76,46 ,N/A,,,1 ,$50,,$50,$50,,,,,$50,CPIF,680,350,918,GEO,,,,,,,2,,2-Ku 200/,,2.0,RCA-1000,3-axis,,
INT 412,4A F4,HAC,INTELSAT,AC,73 Apr,1973,"$36,866",04/15/73,77 Sep,09/29/77,53 ,75 May,05/15/75,25 ,3 ,$52,$21,$72,$24,,,,,$72,FFP,"1,515",651,575,GEO,,,,,20,,,,20-C band,Transoceanic Global,7.0,HS-353,spinner,,
OTS,,BADG,ESA,Delta 3914,73 Dec,1973,"$210,106",12/15/73,77 Sep,09/13/77,45 ,N/A,,,1 ,$74,$5,$79,$79,,,,,$79,FP E,837,376,527,GEO,,,,,,,6,,6-Ku band,,3.0,ECS,3-axis,,
Satcom,79ºW,RCA,RCA Americ,Delta 3914,73 Dec,1973,"$57,935",12/15/73,75 Dec,12/13/75,24 ,N/A,,,3 ,,,$70,$23,,,,,$70,COST,907,397,493,GEO,,,,,24,,,,24-C band,USA,8.0,RCA-1000,3-axis,,
NATO III,,FACC,USAF,Delta 2914,73 Mar,1973,"$29,240",03/15/73,76 Apr,04/22/76,37 ,N/A,,,3 ,$31,,$31,$10,,,,,$31,FPI,713,342,388,GEO,,,,,,2,,,2-X band,,7.0,,spinner,,
Marisat,Gapfiller,HAC,COM GEN,Delta 2914,73 May,1973,"$52,632",05/15/73,76 Feb,02/19/76,33 ,74 Oct,10/15/74,17 ,3 ,,,$48,$16,,,,,$48,FFP,656,304,"2,940",GEO,132.7ºE,1,1,,,,,,1-L/1-UHF,Global,5.0,,spinner,,
Comstar,,HAC,Com Generl,Atlas Cent,73 Sep,1973,"$23,988",09/15/73,76 May,05/13/76,32 ,75 Nov,11/15/75,26 ,4 ,$56,$10,$66,$16,,,,,$66,FFP,"1,516",667,576,GEO,,,,,24,,,,24-C band,USA,7.0,HS-312,spinner,,
ETS II,,FACC,MELCO,NLV-1,74 Apr,1974,"$67,797",04/15/74,77 Feb,02/23/77,34 ,N/A,,,2 ,,,$16,$8,$2,,,,$18,FFP,254,118,96,GEO,,,,,,,1,1,1-Ku/1-Ka,Japan,0.5,,Spinner,,
INT 409,4A F1,HAC,INTELSAT,AC,74 Dec,1974,"$24,578",12/15/74,75 Sep,09/26/75,9 ,N/A,,,3 ,$34,$14,$48,$16,,,,,$48,FFP,"1,515",651,575,GEO,,,,,20,,,,20-C band,Transoceanic Global,7.0,HS-353,spinner,,
CS 1,,FACC,MELCO,Delta 1914,74 Feb,1974,"$57,143",02/15/74,77 Dec,12/15/77,46 ,N/A,,,2 ,$35,,$35,$18,,,,,$35,FFP,676,315,388,GEO,,,,,2,,,6,2-C/6-Ka,Japan,3.0,,spinner,,
MARECS,Inmarsat 1,BADG,ESA Inmars,Ariane,74 Jul,1974,"$123,711",07/15/74,81 Dec,12/20/81,89 ,N/A,,,2 ,$112,$8,$120,$60,,,,,$120,FP E,"1,014",485,750,GEO,,,1,,1,,,,1-L/1-C,Global,7.0,,3-axis,,
Sirio,,CNA,Italy,Delta 2313,74 Oct,1974,"$186,170",10/15/74,77 Aug,08/25/77,34 ,N/A,,,1 ,,,$35,$35,,,,,$35,FP E,398,188,98,GEO,,,,,,,1,,1-Ku band,,2.0,,spinner,,
GPS-1,,Rockwell,USAF,Delta,74 Sep,1974,"$36,923",09/15/74,78 Feb,02/22/78,41 ,N/A,,,4 ,$46,,$46,$12,,,,,$46,FFP,602,325,384,MEO,,,,,,,,,Radiolocation,Global,8.0,,3-axis,,
Palapa A,,HAC,Perumtel,Delta 2914,75 Jan,1975,"$40,650",01/15/75,76 Jul,07/08/76,18 ,N/A,,,2 ,$20,,$20,$10,,,,,$20,FFP,574,246,237,GEO,,,,,12,,,,12-C band,Indonesia,7.0,HS-333,spinner,,
ECS Japan,,FACC,NASDA ME,N-1,75 May,1975,"$73,171",05/15/75,79 Feb,02/06/79,45 ,N/A,,,2 ,,,$18,$9,,,,,$18,FFP,264,123,108,GEO,,,,,1,,,1,1-C/1-KA,Japan,1.0,,spinner,,
TDRSS,"F-1,2,3,4,5,",TRW,Spacecom,STS IUS,76 Dec,1976,"$48,387",12/15/76,83 Apr,04/05/83,76 ,80 Jun,06/15/80,42 ,4 ,$302,,$302,$75,$34,,,,$336,CPAF,"4,070","1,550","1,828",GEO,48ºW,,,2,12,,6,,"85ºE,46ºW,167ºW,171ºE",,10.0,,3-axis,,
ANIK B,,RCA,Telesat,Delta 3914,76 Jul,1976,"$60,302",07/15/76,78 Dec,12/16/78,29 ,N/A,,,1 ,$20,$4,$24,$24,,,,,$24,FFP,907,398,740,GEO,,,,,12,,6,,12-C/6-Ku,Canada,7.0,RCA-1000,3-axis,,
INT 501,,FACC,INTELSAT,AC Ariane,76 Sep,1976,"$41,924",09/15/76,80 Dec,12/06/80,51 ,79 Jun,06/15/79,33 ,7 ,$177,$58,$235,$34,,,,,$235,FFP,"1,874",811,"1,288",GEO,,,1,,21,,6,,21-C/6-Ku,Transoceanic Global,7.0,FS-761,3-axis,,
Eutelsat 1,ECS Europe,BADG,Eutelsat,Ariane,77 Dec,1977,"$83,665",12/15/77,83 Jun,06/16/83,66 ,N/A,,,5 ,$196,$14,$210,$42,,,,,$210,FP E,"1,180",502,900,GEO,,,,,,,9,,9-Ku band,,7.0,,3-axis,,
DSCS IIIA,,GE,USAF,Titan 3C,77 Feb,1977,"$43,424",02/15/77,82 Aug,10/30/82,68 ,N/A,,,2 ,$70,,$70,$35,,,,,$70,FFP,"1,015",806,980,GEO,,1,,,,6,,,6-X/1-UHF,Global,10.0,,3-axis,,
SBS,,HAC,SBS,Delta 3914,77 Oct,1977,"$44,872",10/15/77,80 Nov,11/15/80,37 ,N/A,,,3 ,$51,$13,$64,$21,,$12,,,$76,FFP,"1,064",468,806,GEO,,,,,,,10,,10-Ku band,USA,7.0,HS-376,spinner,,
ANIK C,,HAC,Telesat,Delta 3914,78 Apr,1978,"$44,807",04/15/78,82 Nov,11/12/82,55 ,N/A,,,3 ,$54,$14,$67,$22,,$9,,,$76,FFP,"1,153",491,816,GEO,,,,,,,16,,16-Ku band,Canada,10.0,HS-376,spinner,,
Insat 1AB,,FACC,DOS INDI,Delta STS,78 Jul,1978,"$56,338",07/15/78,82 Apr,04/10/82,45 ,N/A,,,2 ,$50,$6,$56,$28,$5,$8,,,$69,FFP,"1,152",497,975,GEO,,,,2,12,,,,12-C/2-S/,India,7.0,FS-781,3-axis,,
Leasat,,HAC,US Navy,STS,78 Sep,1978,"$57,216",09/15/78,84 Aug,08/31/84,72 ,N/A,,,5 ,,$335,$335,$67,,,,,$335,LEAS,"2,301","1,171","1,077",GEO,100ºE,13,,,,,,,13-UHF,Global,7.0,,spinner,,
Palapa B,,HAC,Perumtel,STS,79 Dec,1979,"$62,147",12/15/79,83 Jun,06/19/83,42 ,N/A,,,2 ,$61,$5,$66,$33,$5,$9,,,$80,FFP,"1,246",531,845,GEO,,,,,24,,,,24-C band,Indonesia,8.0,HS-376,spinner,,
ANIK D,,SPAR,Telesat,STS,79 May,1979,"$67,179",05/15/79,82 Aug,08/26/82,39 ,N/A,,,2 ,$65,$5,$70,$35,,$8,,,$78,FFP,"1,208",521,806,GEO,,,,,20,,,,20-C band,Canada,10.0,HS-376,spinner,,
Galaxy 06,,HAC,HCI,STS PAM,79 Nov,1979,"$69,811",11/15/79,83 Jun,06/15/83,43 ,N/A,,,3 ,$111,,$111,$37,,$12,,,$132,COST,"1,250",530,900,GEO,37.2ºW,,,,24,,,,24-C band,USA,8.5,HS-376,spinner,,
INT 508,,FACC,INTELSAT,Ariane,79 Sep,1979,"$41,427",09/15/79,84 Mar,03/05/84,54 ,N/A,,,1 ,$27,$9,$36,$36,,,,,$36,FP E,"1,834",869,"1,350",GEO,,,1,,21,,6,,21-C/6-Ku,Transoceanic Global,7.0,FS-761,3-axis,,
Telstar 3,,HAC,ATT,Delta 3920,80 Aug,1980,"$77,519",08/15/80,83 Jul,07/28/83,35 ,N/A,,,3 ,$105,$15,$120,$40,$17,,,,$137,FFP,"1,217",516,692,GEO,,,,,24,,,,24-C band,USA,10.0,HS-376,spinner,,
INT 510,,FACC,INTELSAT,AC,80 Dec,1980,"$50,867",12/15/80,85 Mar,03/22/85,51 ,N/A,,,3 ,$98,$33,$131,$44,,,,,$131,FP E,"2,114",865,"1,350",GEO,,,,,26,,6,,26-C/6-Ku,Transoceanic Global,7.0,FS-761,3-axis,,
Westar 4,,HAC,West Union,STS 3910,80 Jan,1980,"$60,000",01/15/80,82 Feb,02/26/82,25 ,N/A,,,2 ,$50,$10,$60,$30,,,,,$60,FFP,"1,102",500,692,GEO,,,,,24,,,,24-C band,USA,9.0,HS-376,spinner,,
CS 2,,MELCO,TSCJ,N-2,80 Jul,1980,"$166,667",07/15/80,83 Feb,02/04/83,31 ,N/A,,,2 ,$100,,$100,$50,,,,,$100,FFP,650,300,347,GEO,,,,,2,,,6,2-C/6-Ka,Japan,5.0,,spinner,,
NATO IIID,,FACC,USAF NATO,Delta,80 Jul,1980,"$87,719",07/15/80,84 Nov,11/14/84,52 ,N/A,,,1 ,$30,,$30,$30,,,,,$30,FFP,713,342,388,GEO,,,,,,2,,,2-X band,,7.0,,spinner,,
Telecom 1,,Matra,NTO-France,Ariane 2,80 Jun,1980,"$58,182",06/15/80,84 Aug,08/04/84,50 ,N/A,,,3 ,$95,,$95,$32,,,,,$95,FFP,"1,142",550,"1,045",GEO,,,,,4,,6,,4-C/6-Ku/,France,7.0,,3-axis,,
Satcom 4,105ºW,RCA,RCA Americ,Delta 3910,80 May,1980,"$49,896",05/15/80,82 Jan,01/16/82,20 ,N/A,,,3 ,$71,,$71,$24,,,,,$71,COST,"1,116",481,740,GEO,,,,,24,,,,24-C band,USA,10.0,RCA-3000,3-axis,,
INT 509,,FACC,INTELSAT,AC,80 Sep,1980,"$35,673",09/15/80,84 Jun,06/09/84,45 ,N/A,,,1 ,$23,$8,$31,$31,,,,,$31,FP E,"2,016",869,"1,350",GEO,,,1,,21,,6,,21-C/6-Ku,Transoceanic Global,7.0,FS-761,3-axis,,
TVSat TDF,TDF,Eurosate,CNES BMFT,Ariane 3,81 Apr,1981,"$120,213",04/15/81,87 Nov,11/21/87,79 ,86 May,05/15/86,61 ,2 ,,,$226,$113,,,,,$226,FFP,"2,136",940,"3,311",GEO,,,,,,,3,,3-Ku 260W,France Germany,7.0,SB-300B,3-axis,,
Olympus,,BADG,ESA,Ariane,81 Dec,1981,"$397,237",12/15/81,89 Jul,07/12/89,91 ,N/A,,,1 ,,,$460,$460,,,,,$460,FP E,"2,537","1,158","3,500",GEO,,,,,,,6,2,6-Ku/2Ka,Europe,7.0,Olympus,3-axis,,
Skynet 4,,BADG,UK MOD,DeltaArian,81 Jul,1981,"$117,647",07/15/81,88 Dec,12/11/88,89 ,N/A,,,2 ,,,$160,$80,,,,,$160,FP E,"1,460",680,"1,200",GEO,,,,,,1,,,X band,,7.0,ECS,3-axis,,
GSTAR,,RCA,GTE Sprint,Ariane,81 Jun,1981,"$84,453",06/15/81,85 May,05/08/85,47 ,N/A,,,3 ,$120,$12,$132,$44,,$8,,,$140,FFP,"1,256",521,"1,320",GEO,105.4ºW,,,,,,16,,16-Ku band,USA,10.0,RCA-3000,3-axis,,
Arabsat 1,,AS,Arabsat,Ariane,81 Mar,1981,"$93,946",03/15/81,85 Feb,02/08/85,47 ,N/A,,,3 ,$120,$14,$134,$45,,,,,$134,FFP,"1,093",479,"1,300",GEO,,,,1,25,,,,25-C/1-S,Mid East N Africa,7.0,FS-781,3-axis,,
SBS 4,,HAC,SBS,STS,81 Mar,1981,"$51,613",03/15/81,84 Aug,08/31/84,42 ,N/A,,,1 ,$32,,$32,$32,,,,,$32,FFP,"1,238",620,908,GEO,,,,,,,10,,10-Ku band,USA,7.0,HS-376,spinner,,
Westar 6,,HAC,West Union,STS PAMD,81 May,1981,"$76,000",05/15/81,Sold,,,N/A,,,1 ,$35,$3,$38,$38,,,,,$38,FFP,"1,102",500,692,GEO,,,,,24,,,,24-C band,USA,10.0,HS-376,spinner,,
Spacenet,,RCA,SPCC,Delta 3920,81 Oct,1981,"$79,918",10/15/81,84 May,05/23/84,31 ,N/A,,,3 ,$95,$22,$117,$39,$5,$14,,,$136,FFP,"1,247",488,"1,212",GEO,,,,,18,,6,,18-C/6-Ku,USA,7.5,RCA-3000,3-axis,,
INT 513,,FACC,INTELSAT,Ariane,81 Sep,1981,"$34,368",09/15/81,86 May,05/30/86,56 ,N/A,,,3 ,$69,$23,$92,$31,,,,,$92,FP E,"1,934",902,"1,350",GEO,,,,,26,,6,,26-C/6-Ku,Transoceanic Global,7.0,FS-761,3-axis,,
UNISAT,,BADG,BTI/BBC,Ariane,82,1982,"$134,921",,Cancel,,,N/A,,,3 ,,,$256,$85,,,,,$256,FP E,"1,380",630,"1,700",GEO,,,,,,,6,,2-TV/4-Ku,,7.0,,3-axis,,
STC DBS,,RCA,COMSAT,STS,82 Aug,1982,"$122,642",08/15/82,Cancel,,,86 Jan,01/15/86,41 ,2 ,$115,$15,$130,$65,,$10,,,$140,FFP,"1,250",530,"1,910",GEO,,,,,,,3,,3-Ku 200W,,7.0,RCA-3000,3-axis,,
SatCol,,RCA,Columbia,Ariane,82 Jan,1982,"$83,507",01/15/82,Cancel,,,N/A,,,2 ,$79,,$79,$40,,,,,$79,FFP,"1,094",479,712,GEO,,,,,24,,,,24-C band,Colombia,8.0,RCA-3000,3-axis,,
DBSC,,FACC,DBSC,STS/Ariane,82 Jul,1982,"$90,909",07/15/82,TBD,,,N/A,,,2 ,$170,$30,$200,$100,,,,,$200,FFP,"2,580","1,100","4,600",GEO,,,,,,,18,,18-Ku 200,USA,7.0,FS-1300,3-axis,,
INT 601,,HAC,INTELSAT,Titan AR4,82 Mar,1982,"$73,667",03/15/82,89 Oct,10/27/89,91 ,85 Dec,12/15/85,45 ,5 ,$590,$79,$669,$134,,,,,$669,CNS$,"4,240","1,819","2,075",GEO,47.5ºE,,,,38,,10,,38C/10Ku,Transoceanic Global,10.0,HS-393,spinner,,
Brazilsat A,,SPAR,Embratel,Ariane,82 May,1982,"$83,636",05/15/82,85 Feb,02/08/85,33 ,N/A,,,2 ,$79,$12,$91,$46,,,,,$91,FFP,"1,140",550,900,GEO,,,,,24,,,,24-C band,Brazil,7.0,HS-376,spinner,,
Optus A,Aussat A,HAC,Aussat,STS Ariane,82 May,1982,"$79,505",05/15/82,85 Aug,08/27/85,39 ,N/A,,,3 ,$120,$15,$135,$45,$28,$10,,,$173,FFP,"1,250",566,"1,000",GEO,,,,,,,15,,15-Ku,Australia New Zealand,7.0,HS-376,spinner,,
Morelos 1,,HAC,MEXICO,STS,82 Oct,1982,"$63,050",10/15/82,85 Jun,06/17/85,32 ,N/A,,,2 ,$75,$12,$87,$43,$5,,,,$92,FFP,"1,240",682,900,GEO,,,,,18,,6,,18-C/6-Ku,Mexico,10.0,HS-376,spinner,,
Tele-X,,AS / MBB,SCC Sweden,Ariane 3,82 Oct,1982,"$96,078",10/15/82,89 Apr,04/02/89,78 ,N/A,,,1 ,,,$98,$98,,,,,$98,FFP,"2,130","1,020","3,200",GEO,,,,,,,4,,4-Ku 200W,,7.0,SB-300,3-axis,,
GRO,Compton,TRW,NASA GSFC,STS,83 Feb,1983,"$14,055",02/15/83,91 Apr,04/07/91,98 ,N/A,,,1 ,$168,$25,$193,$193,,,,,$193,CPAF,,"13,732","1,768",LEO,,,,,,,,,Science,,2.3,,3-axis,,
AMSAT,,RCA,CONTEL,Ariane,83 Jul,1983,"$70,175",07/15/83,85 Aug,08/15/85,25 ,85 Aug,08/15/85,25 ,3 ,$111,$9,$120,$40,,,,,$120,FFP,"1,270",570,"1,215",GEO,,,,,18,,6,,18-C/6-Ku,,8.0,RCA-3000,3-axis,,
Insat 2A,,ISRO,India DOS,Ariane 4,83 Jul,1983,"$43,908",07/15/83,92 Jul,07/09/92,108 ,N/A,,,2 ,$80,,$80,$40,,,,,$80,CP,"1,931",911,"1,140",GEO,,,,2,18,,,,18C/2SMeteorolo,India,9.0,,3-axis,,
Milstar 1,,LMSC,USAF SD,STS,83 Jul,1983,"$111,038",07/15/83,94 Feb,02/15/94,127 ,88 Jul,07/15/88,60 ,2 ,,,"$1,050",$503,,,,,"$1,000",CPIF,"4,670","4,530","5,000",GEO,,,,,,,,,MultiBand,,10.0,,3-axis,,
Rainbow,,RCA,RSI,AC,83 Jul,1983,"$55,789",07/15/83,Cancel,,,N/A,,,2 ,$87,$20,$107,$53,$17,$72,,,$196,FFP,"2,000",950,"2,200",GEO,,,,,,,24,,24-Ku 50W,,8.0,RCA-4000,3-axis,,
FSC F678,,TRW,USAF,Atlas Cent,83 Jun,1983,"$94,195",06/15/83,86 Dec,12/15/86,42 ,N/A,,,3 ,$235,$24,$259,$86,,,,,$259,FP I,"1,884",913,"1,210",LEO,,,,,,,,,UHF EHF,,5.0,,3-axis,,
Kopernicus,DFS,ANT,Bundes PMT,Ariane,83 May,1983,"$118,750",05/15/83,89 Jun,06/05/89,73 ,87 Oct,10/15/87,53 ,3 ,,,$227,$76,,,,,$227,FP E,"1,382",640,"1,550",GEO,15.3ºW,,,,,,10,1,10-Ku/1Ka,,7.0,SB-100B,3-axis,,
Fordsat,,FACC,FASSC,STS HPPM,83 Nov,1983,"$71,298",11/15/83,Cancel,,,N/A,,,3 ,$210,$25,$235,$78,,,,,$235,COST,"2,746","1,094","2,830",GEO,,,,,24,,24,,24-C/24-K,USA,10.0,FS-1300,3-axis,,
Satcom K1,,RCA,RCA Americ,STS PAMD,83 Oct,1983,"$64,683",10/15/83,86 Jan,01/12/86,27 ,N/A,,,2 ,$90,$10,$100,$50,,,,,$100,FFP,"1,935",773,"2,440",GEO,,,,,,,16,,16-Ku 45W,USA,10.0,RCA-4000,3-axis,,
GPS-2AB,,Rockwell,USAF SD,STS PAMD,84 Jun,1984,"$46,237",06/15/84,90 Nov,11/26/90,77 ,89 Feb,02/15/89,56 ,28 ,,,"$1,200",$43,,,,,"$1,200",FFP,"1,881",930,710,MEO,,,,,,,,,Radiolocation,Global,7.5,,3-axis,,
USSB,,RCA,HUBBARD,AC,84 Mar,1984,"$78,652",03/15/84,Cancel,,,TBD,,,2 ,$110,$15,$125,$63,$10,,,,$135,FFP,"1,995",801,"3,259",GEO,,,,,,,6,,6-Ku 230,,7.0,RCA-4000,3-axis,,
ACTS,,RCA,NASA,STS,84 Sep,1984,"$105,263",09/15/84,93 Sep,09/12/93,108 ,89 Oct,10/15/89,61 ,1 ,$140,,$140,$140,$70,,,,$210,FFP,"2,767","1,330","1,418",GEO,105.8ºW,,,,,,,4,4-Ka band,,4.0,RCA-4000,3-axis,,
DSCS IIIB,,GE,USAF,Titan 3C,85,1985,"$105,459",,97 Oct,10/25/97,,N/A,,,5 ,,,$423,$85,,,,,$423,FFP,"1,015",806,980,GEO,,1,,,,6,,,6-X/1-UHF,Global,10.0,,3-axis,,
"JCSat 1,2",,HAC,JapanSat,Titan AR4,85 Apr,1985,"$50,137",04/15/85,89 Mar,03/06/89,47 ,88 Jan,01/15/88,33 ,2 ,$101,$10,$111,$55,$25,$146,$57,,$314,FFP,"2,275","1,097","2,590",GEO,,,,,,,32,,32-Ku,Japan,10.0,HS-393,spinner,,
CBSC,,RCA,ChinaBroad,STS-AR,85 BID,1985,"$89,958",,Cancel,,,N/A,,,2 ,$87,,$87,$43,$15,$14,,,$116,FFP,"1,170",478,"1,433",GEO,,,,,,,2,,2-Ku 200W,,7.0,RCA-3000,3-axis,,
BS-3,,RCA,NEC NHK,H-1,85 Feb,1985,"$168,279",02/15/85,90 Aug,08/28/90,66 ,90 Aug,08/15/90,66 ,2 ,$158,$16,$174,$87,,,$14,,$100,FFP,"1,080",517,"1,443",GEO,,,,,,,3,,3 Ku 100W,Japan,5.0,RCA-3000,3-axis,,
CS 3,,MELCO,NASD-NTT,H-1,85 Feb,1985,"$145,833",02/15/85,88 Feb,02/19/88,36 ,88 Feb,02/15/88,36 ,2 ,$140,,$140,$70,,$131,,,$271,FPEA,"1,099",480,750,GEO,132ºE,,,,2,,,10,2-C/10-Ka,Japan,7.0,,spinner,,
SBS 6,,HAC,SBS 393,Ariane,85 Feb,1985,"$46,154",02/15/85,90 Oct,10/12/90,68 ,87 Aug,08/15/87,30 ,1 ,$50,$10,$60,$60,,,,,$60,FFP,"2,473","1,300","2,107",GEO,81ºW,,,,,,19,,19-Ku 41,USA,10.0,HS-393,spinner,,
Insat 1C,,FACC,India DOS,Ariane 3,85 Jul,1985,"$120,000",07/15/85,88 Jul,07/21/88,36 ,88 Jul,07/15/88,36 ,1 ,,,$60,$60,,,,,$60,FFP,"1,155",500,975,GEO,,1,,2,12,,,,12C/2S/1U,India,7.0,FS-781,3-axis,,
Italsat 1,,SES,CNR,Ariane,85 Jul,1985,"$262,329",07/15/85,91 Jan,01/15/91,66 ,89 Dec,12/15/89,53 ,1 ,$250,,$250,$250,$30,,,,$280,FFP,"1,867",953,"1,760",GEO,,,,,,,,9,9Ka,Italy,5.0,,3-axis,,
INM 2 (3),Inmarsat,BADG,Inmarsat,ArianDelta,85 May,1985,"$86,059",05/15/85,90 Oct,10/30/90,66 ,88 Jun,06/15/88,37 ,3 ,$120,$30,$150,$50,,,,,$150,FP E,"1,300",581,"1,000",GEO,144.3ºW,,1,,1,,,,98ºW,Global,13.0,ES-1000,3-axis,,
Astra 1A,,RCA,SES Lux,Ariane,85 Sep,1985,"$64,683",09/15/85,88 Dec,12/11/88,39 ,87 Sep,09/15/87,24 ,1 ,$45,$5,$50,$50,$15,$65,,,$180,FFP,"1,935",773,"2,440",GEO,18.4ºE,,,,,,16,,16-Ku 45W,Europe,13.0,RCA-4000,3-axis,,
GOES IJK,,FACC,NASA NOAA,STS PAMF,85 Sep,1985,"$55,814",09/15/85,94 Apr,04/13/94,103 ,90 Sep,09/15/90,60 ,3 ,,,$181,$60,$10,$30,,,$221,CPAF,"2,150","1,075","1,164",GEO,75ºW,,,,,,,,"Metsat,60ºW,135.5ºW",Americas,7.0,FS-1000,3-axis,,
PAS 1,,RCA,PanAmSat,Ariane 4,85 Sep,1985,"$72,727",09/15/85,88 Jun,06/15/88,33 ,87 Jul,07/15/87,22 ,1 ,$37,$3,$40,$40,$30,$35,,,$105,FFP,"1,217",550,"1,150",GEO,,,,,18,,6,,18-C/6-Ku,,10.0,RCA-3000,3-axis,,
Superbird A,,FACC,SCC Japan,Ariane,86 Apr,1986,"$70,698",04/15/86,89 Jun,06/05/89,38 ,88 Sep,09/15/88,29 ,2 ,$150,$16,$166,$83,$20,,,,$186,FFP,"2,318","1,174","3,378",GEO,,,,,,,19,10,19Ku/10Ka,Japan,10.0,FS-1300,3-axis,,
