PROGRAM,ALTNAME,CONT,CUSTOMER,LAUNCHER,AWDATE,year,$/kg,AWDDATE,LADATE,LAUDATE,DEV,CONDAT,CONDATE,PLAN,NUM,PRIC,INC,TSAT,EACH,GROUNDSTAT,LAUNCH,INSUR,FIN,AWARD,CONTR,GTOMA,DRYMAS,EOLPO,ORBIT,GEO_SLOT,UHF_XPOND,L_XPOND,S_XPOND,C_XPOND,X_XPOND,KU_XPOND,KA_XPOND,TYPEPAYLOD,COVERAGE,LIFE,SER,CONFIG,REFERENCE,REFERENCE2
Garuda 2,ACeS,LockMart,PT ACeS,Proton,98,1998,"$81,818",,N/A,,,,,,1 ,$150,$30,$180,$180,,$120,$45,,$345,LOI,"4,400","2,200","12,000",GEO,,,140,,,,,,140 L-band,Indonesia,15.0,A 2100AX,3-axis,,
GE 04/6,AMC-4/6,LockMart,GE Americom,Ariane 4,98,1998,"$36,000",,99 Oct,10/13/99,,,,,2 ,$172,$18,$190,$90,,,,,$190,FFP,"3,903","2,500","9,300",GEO,101.0ºW,,,,24,,28,,24 C & 28 Ku,USA,15.0,A 2100AX,3-axis,,
PAS 6B,,HSC,PanAmSat,Ariane 42L,98,1998,"$65,625",,98 Dec,12/21/98,,98 Dec,12/15/98,179769313486232000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 ,1 ,,$95,$10,$105,,$74,$28,,$207,FFP,"3,594","1,600","7,800",GEO,,,,,,,32,,32Ku@ 105W/140W,,15.0,HS 601HP,3-axis,,
Telstar 8,IA-8 Gal28,SS/L,Loral Skynet,Sea Launch,98,1998,"$35,663",,05 Jun,06/23/05,,02 Dec,12/15/02,,1 ,,,$100,$100,,$130,,,$230,FFP,"5,493","2,804","15,970",GEO,89.0ºW,,,,22,,36,24,22C/36Ku/24Ka,Americas,15.0,FS 1300,3-axis,,
Worldstar4,,Alcatel,WorldSpace,Ariane 4,98,1998,"$72,593",,Spare,,,,,,1 ,,,$98,$98,,$70,$25,,$193,FFP,"2,715","1,350","2,870",GEO,,,12,,,,,,12 L @ 150W,,12.0,ES2000+,3-axis,,
Superbird 4,SB B2,HSC,SCC Japan,Proton K,98 Apr,1998,"$46,296",04/15/98,00 Feb,02/18/00,22 ,00 Jan,01/15/00,21 ,1 ,,,$100,$100,,,,,$100,FFP,"4,051","2,160","5,400",GEO,162.0ºE,,,,,,23,,23Ku @83W & 6Ka,Japan,11.0,HS 601HP,3-axis,,
Visionstar,,Orbital,Visionstar,Del/Arian5,98 Apr,1998,"$126,000",04/15/98,Suspen,,,02 Jun,06/15/02,50 ,1 ,$110,$16,$126,$126,$25,$80,$29,,$260,FFP,"2,000","1,000","4,000",GEO,,,,,,,,5,5 Ka,,15.0,,3-axis,,
DirecTV 1R,DBS 4,HSC,DirecTV,Sea Launch,98 Dec,1998,"$57,778",12/15/98,99 Oct,10/15/99,10 ,2000,,,1 ,,,$104,$104,,$80,$28,,$212,FFP,"3,446","1,800","7,700",GEO,72.5ºW,,,,,,16,,16 Ku,USA,15.0,HS 601HP,3-axis,,
INT 905,,SS/L,INTELSAT,Ariane,98 Dec,1998,"$60,150",12/15/98,01 Dec,06/28/02,42 ,01 Dec,12/15/01,36 ,1 ,$90,$30,$120,$120,,,,,$120,FFP,"4,723","1,995","8,280",GEO,24.5ºW,,,,44,,12,,44C/12Ku,Transoceanic Global,13.0,FS 1300,3-axis,,
EuropeStar,PAS Int 12,SS/L,Alcatel,Ariane,98 Feb,1998,"$47,619",02/15/98,00 Oct,10/15/00,32 ,00 Feb,02/15/00,24 ,2 ,,,$200,$100,,$148,$52,,$400,FFP,"4,150","2,100","9,600",GEO,28.2ºE,,,,,,30,,30 Ku-band,Europe,15.2,FS 1300,3-axis,,
GOES N-Q,,HSC,NASA,Delta III,98 Feb,1998,"$48,824",02/15/98,06 May,05/24/06,99 ,01 Oct,10/15/01,44 ,4 ,$300,$30,$330,$83,,$336,$131,,$797,FFP,"3,133","1,700","2,000",GEO,,,,,,,,,Met X-Ray,Americas,7.0,HS 601,3-axis,,
Hispasat 1C,,AS,Spain,Atlas 2AS,98 Jan,1998,"$78,333",01/15/98,00 Feb,02/03/00,25 ,99 Dec,12/15/99,23 ,1 ,,,$94,$94,,,,,$94,FFP,"3,112","1,200","6,000",GEO,30.0ºW,,,,,,22,,22 Ku DBS 120W,NE Americas transoceanic,15.0,SB 2000B,3-axis,,
